"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",1,"3",6,"Yes","Yes","Nfad_2015","SE",4106.9
"2",1,"3",6,"No","Yes","Nfad_2015","SE",9095.97
"3",1,"3",6,"Yes","Yes","Nfad_2020","SE",5683.85
"4",1,"3",6,"No","Yes","Nfad_2020","SE",8769.18
"5",1,"3",6,"Yes","Yes","Nfad_2025","SE",7916.86
"6",1,"3",6,"No","Yes","Nfad_2025","SE",14096.74
"7",1,"3",6,"Yes","Yes","fadsurv","SE",0.01
"8",1,"3",6,"No","Yes","fadsurv","SE",0.02
"9",1,"3",6,"Yes","Yes","fjusurv","SE",0.04
"10",1,"3",6,"No","Yes","fjusurv","SE",0.05
"11",1,"3",6,"Yes","Yes","ppn_breedy","SE",0.03
"12",1,"3",6,"No","Yes","ppn_breedy","SE",0.27
"13",1,"3",6,"Yes","Yes","rel_ad_15_25","SE",0.08
"14",1,"3",6,"No","Yes","rel_ad_15_25","SE",0.23
